
Pre-schedule statistics


Total nodes: 1923

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;3
NodeAdd;{HWOffsetFix:32, 0, UNSIGNED};0;302
NodeAdd;{HWOffsetFix:64, 0, UNSIGNED};0;1
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodeAnd;{HWRawBits:32};0;1
NodeCast;{HWOffsetFix:2, 0, UNSIGNED};0;1
NodeCast;{HWOffsetFix:32, 0, UNSIGNED};0;304
NodeCast;{HWOffsetFix:5, 0, UNSIGNED};0;1
NodeCat;{HWRawBits:9728};0;1
NodeConstantRawBits;{HWFloat:8, 24};0;7
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;7
NodeConstantRawBits;{HWOffsetFix:2, 0, UNSIGNED};0;3
NodeConstantRawBits;{HWOffsetFix:32, 0, UNSIGNED};0;303
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeConstantRawBits;{HWOffsetFix:64, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:65, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:7, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;3
NodeConstantRawBits;{HWRawBits:32};0;2
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeCounter;{HWOffsetFix:64, 0, UNSIGNED};0;1
NodeDiv;{HWFloat:8, 24};0;2
NodeEqInlined;{HWOffsetFix:1, 0, UNSIGNED};0;305
NodeFIFO;{HWFloat:8, 24};1;1
NodeFIFO;{HWFloat:8, 24};11;1
NodeFIFO;{HWFloat:8, 24};47;1
NodeFIFO;{HWFloat:8, 24};7;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};1;69
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};10;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};111;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};2;39
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};3;33
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};4;32
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};5;15
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};6;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};7;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};8;2
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};9;1
NodeFIFO;{HWOffsetFix:2, 0, UNSIGNED};8;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};1;302
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};53;1
NodeGt;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeGtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWRawBits:128};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:64, 0, UNSIGNED};0;1
NodeMul;{HWFloat:8, 24};0;4
NodeMux;{HWFloat:8, 24};0;1
NodeMux;{HWOffsetFix:2, 0, UNSIGNED};0;3
NodeMux;{HWOffsetFix:32, 0, UNSIGNED};0;303
