0.005,0.0548
0.015,0.1621
0.025,0.2692
0.035,0.3826
0.045,0.4782
0.055,0.5873
0.065,0.6897
0.075,0.787
0.085,0.8686
0.095,0.9855
0.105,1.0639
0.115,1.1695
0.125,1.2466
0.135,1.3088
0.145,1.3821
0.155,1.441
0.165,1.5287
0.175,1.5865
0.185,1.6447
0.195,1.6579
0.205,1.7243
0.215,1.7774
0.225,1.8144
0.235,1.8163
0.245,1.8774
0.255,1.8693
0.265,1.8965
0.275,1.9101
0.285,1.9495
0.295,1.9271
0.305,1.9561
0.315,1.9287
0.325,1.9394
0.335,1.9186
0.345,1.9057
0.355,1.8887
0.365,1.9022
0.375,1.8791
0.385,1.8365
0.395,1.8274
0.405,1.7702
0.415,1.7339
0.425,1.733
0.435,1.6881
0.445,1.657
0.455,1.6271
0.465,1.5648
0.475,1.5292
0.485,1.4953
0.495,1.4433
0.505,1.4141
0.515,1.3722
0.525,1.3396
0.535,1.2768
0.545,1.2457
0.555,1.1962
0.565,1.1831
0.575,1.1117
0.585,1.0543
0.595,1.0342
0.605,1.012
0.615,0.9436
0.625,0.9292
0.635,0.8567
0.645,0.8177
0.655,0.7823
0.665,0.7517
0.675,0.7067
0.685,0.6669
0.695,0.6397
0.705,0.6001
0.715,0.5629
0.725,0.5133
0.735,0.4833
0.745,0.4631
0.755,0.4305
0.765,0.385
0.775,0.3699
0.785,0.3406
0.795,0.3188
0.805,0.2828
0.815,0.2542
0.825,0.2296
0.835,0.2103
0.845,0.1902
0.855,0.1614
0.865,0.1487
0.875,0.125
0.885,0.1157
0.895,0.0971
0.905,0.0766
0.915,0.0642
0.925,0.0504
0.935,0.0433
0.945,0.0294
0.955,0.0216
0.965,0.0111
0.975,0.0037
0.985,0.0015
0.995,0
1.005,0
